modelo,categoria,val_acc,val_f1_macro,test_acc,test_f1_macro,seg_evaluar
CNN_B_profunda_do0.3,CNN,0.967816091954023,0.9676899115419567,0.9659003831417624,0.9657775688076542,3.6619598865509033
RF_300_default,Clásico (RF+HOG),0.9674329501915708,0.9676162286168764,0.9674329501915708,0.9673788053723877,
RF_300_prof30,Clásico (RF+HOG),0.963984674329502,0.9641508721005045,0.9666666666666667,0.9666471632508391,
RF_100_default,Clásico (RF+HOG),0.957471264367816,0.9576794445636705,0.9559386973180076,0.9559670373708735,
CNN_B_profunda_do0.3_AUG,CNN (aug),0.906896551724138,0.9036779685381761,0.9015325670498084,0.897285537911877,3.67427659034729
CNN_A_base_lr1e-3,CNN,0.8501915708812261,0.8505102979913252,0.8344827586206897,0.8352301822029262,1.529728889465332
MLP_A_512_256,MLP,0.8187739463601532,0.8191606787078084,0.8053639846743295,0.8070527382359838,0.7301955223083496
CNN_B_profunda_do0.5,CNN,0.7720306513409961,0.771684760040882,0.7620689655172413,0.7625013282742079,3.9325156211853027
CNN_A_base_lr5e-4,CNN,0.7053639846743295,0.7008481579637073,0.7038314176245211,0.6999709903957594,1.5816879272460938
MLP_B_1024_512_128,MLP,0.664367816091954,0.6615417039320354,0.6425287356321839,0.6386936578296158,1.20637845993042
MLP_A_512_256_AUG,MLP (aug),0.5076628352490421,0.49812546137881203,0.5015325670498084,0.488053631080352,0.772413969039917
